City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Sur,OM,2021-05-17 07:46:40,22.5667,59.5289,94.59,37,0,8.77
211,Neiafu,TO,2021-05-17 07:46:40,-18.65,-173.9833,79.93,81,6,17.96
212,Nishihara,JP,2021-05-17 07:46:41,26.1842,127.7558,86.0,74,75,14.97
213,Mahebourg,MU,2021-05-17 07:46:41,-20.4081,57.7,82.4,54,40,12.66
214,Flinders,AU,2021-05-17 07:46:42,-34.5833,150.8552,55.0,73,45,1.01
215,Xai-Xai,MZ,2021-05-17 07:46:42,-25.0519,33.6442,76.71,63,55,12.75
216,Nelson Bay,AU,2021-05-17 07:46:42,-32.7167,152.15,60.01,71,20,9.95
217,Locri,IT,2021-05-17 07:46:43,38.2414,16.2623,73.99,56,45,3.44
218,Kabanjahe,ID,2021-05-17 07:46:43,3.1001,98.4908,87.8,74,75,9.22
219,Varhaug,NO,2021-05-17 07:46:44,58.6147,5.6457,53.01,84,100,7.74
220,Mali,GN,2021-05-17 07:46:44,12.079,-12.2982,89.6,43,0,9.22
221,Korla,CN,2021-05-17 07:46:44,41.7597,86.1469,71.42,23,100,4.59
222,Klaksvik,FO,2021-05-17 07:46:45,62.2266,-6.589,44.6,93,90,12.66
223,Gouyave,GD,2021-05-17 07:46:45,12.1646,-61.7296,78.53,80,24,16.46
224,Itacare,BR,2021-05-17 07:46:46,-14.2775,-38.9967,67.57,90,100,8.14
225,Ponta Do Sol,PT,2021-05-17 07:46:46,32.6667,-17.1,66.2,68,20,16.11
226,Farafangana,MG,2021-05-17 07:46:47,-22.8167,47.8333,78.67,69,1,9.86
227,Matagami,CA,2021-05-17 07:46:47,49.7502,-77.6328,46.4,87,90,5.75
228,Rincon,US,2021-05-17 07:46:48,32.296,-81.2354,57.2,88,1,2.71
229,Esperance,AU,2021-05-17 07:46:48,-33.8667,121.9,75.2,35,100,13.8
230,Neustadt,DE,2021-05-17 07:46:48,49.7117,12.0872,50.0,87,90,10.36
231,Jijiang,CN,2021-05-17 07:42:04,29.2906,106.2542,77.0,60,20,6.71
232,Scottsbluff,US,2021-05-17 07:46:49,41.8666,-103.6672,50.0,87,1,4.29
233,Chuzhou,CN,2021-05-17 07:46:50,32.3219,118.2978,72.0,45,84,3.85
234,Koping,SE,2021-05-17 07:46:51,59.514,15.9926,50.0,93,90,6.91
235,Kaa-Khem,RU,2021-05-17 07:46:51,51.6833,94.7333,55.42,82,100,6.67
236,Airai,TL,2021-05-17 07:46:51,-8.9266,125.4092,65.91,71,100,2.98
237,Kununurra,AU,2021-05-17 07:46:52,-15.7667,128.7333,84.2,23,8,10.36
238,Tucuman,AR,2021-05-17 07:46:52,-26.8241,-65.2226,64.4,82,90,2.3
239,Sao Joao Da Barra,BR,2021-05-17 07:46:53,-21.6403,-41.0511,69.03,79,72,5.77
240,Vinnytsya,UA,2021-05-17 07:46:53,49.2328,28.481,62.6,77,40,4.47
241,Ketchikan,US,2021-05-17 07:46:54,55.3422,-131.6461,41.0,87,1,3.44
242,Ixtapa,MX,2021-05-17 07:46:54,20.7,-105.2,77.0,81,0,2.71
243,Callaway,US,2021-05-17 07:46:54,30.153,-85.5699,64.4,82,1,6.91
244,Sitka,US,2021-05-17 07:46:55,57.0531,-135.33,42.8,81,75,5.75
245,Port Lavaca,US,2021-05-17 07:46:55,28.615,-96.6261,78.8,83,90,11.5
246,Santo Antonio Do Ica,BR,2021-05-17 07:46:56,-3.1022,-67.9397,72.7,99,100,1.48
247,Hervey Bay,AU,2021-05-17 07:46:56,-25.2986,152.8535,68.0,61,0,6.49
248,Henties Bay,NA,2021-05-17 07:46:56,-22.116,14.2845,65.1,72,24,5.88
249,Lata,PT,2021-05-17 07:46:57,40.1629,-8.3327,50.0,94,98,4.88
250,Gotsu,JP,2021-05-17 07:46:57,35.0,132.2167,62.6,100,75,3.44
251,Ambilobe,MG,2021-05-17 07:46:58,-13.2,49.05,87.33,48,81,5.14
252,Namibe,AO,2021-05-17 07:46:58,-15.1961,12.1522,80.76,45,0,5.97
253,Tiksi,RU,2021-05-17 07:46:58,71.6872,128.8694,32.02,94,49,8.5
254,Magomeni,TZ,2021-05-17 07:46:59,-6.8,39.25,79.47,84,100,5.95
255,Bubaque,GW,2021-05-17 07:46:59,11.2833,-15.8333,77.65,73,100,12.26
256,Lodja,CD,2021-05-17 07:47:00,-3.4833,23.4333,86.58,53,100,3.24
257,Puri,IN,2021-05-17 07:45:17,19.8,85.85,98.6,47,20,10.36
258,Den Helder,NL,2021-05-17 07:47:00,52.9599,4.7593,53.6,87,90,1.14
259,Bilma,NE,2021-05-17 07:47:01,18.6853,12.9164,98.76,8,0,19.19
260,Tchibanga,GA,2021-05-17 07:47:01,-2.85,11.0333,77.0,94,90,1.52
261,Kogon,UZ,2021-05-17 07:47:02,39.7228,64.5517,91.4,15,0,6.91
262,Portage,US,2021-05-17 07:47:02,41.1667,-81.1998,48.2,76,1,4.79
263,Poum,NC,2021-05-17 07:47:03,-20.2333,164.0167,77.14,74,94,15.35
264,Wattegama,LK,2021-05-17 07:47:03,6.7989,81.4808,93.2,66,75,5.75
265,Whitehorse,CA,2021-05-17 07:45:01,60.7161,-135.0538,37.0,93,75,3.44
266,Huangchuan,CN,2021-05-17 07:47:04,32.1272,115.0394,69.64,50,100,2.91
267,San Cristobal,VE,2021-05-17 07:47:04,7.7669,-72.225,66.06,93,100,2.21
268,Luwuk,ID,2021-05-17 07:47:05,-0.9516,122.7875,80.04,88,100,3.18
269,Mao,ES,2021-05-17 07:47:05,39.8885,4.2658,64.4,52,0,21.85
270,Manokwari,ID,2021-05-17 07:47:06,-0.8667,134.0833,81.5,80,75,5.32
271,Guerrero Negro,MX,2021-05-17 07:43:27,27.9769,-114.0611,58.6,81,4,19.06
272,Verkhnyaya Inta,RU,2021-05-17 07:47:06,65.9811,60.3094,48.56,66,100,12.37
273,Shingu,JP,2021-05-17 07:47:07,33.7333,135.9833,73.99,94,75,9.22
274,Haines Junction,CA,2021-05-17 07:47:07,60.7522,-137.5108,37.4,87,100,1.14
275,Rangpur,BD,2021-05-17 07:47:07,25.75,89.25,99.88,38,13,6.29
276,Playa Vicente,MX,2021-05-17 07:47:08,17.8333,-95.8167,77.0,82,90,2.44
277,Muli,MV,2021-05-17 07:47:08,2.9167,73.5667,84.47,74,94,12.03
278,Yulara,AU,2021-05-17 07:47:09,-25.2406,130.9889,69.8,16,55,17.27
279,Nansio,TZ,2021-05-17 07:47:09,-2.1333,33.05,74.59,70,87,9.64
280,Surt,LY,2021-05-17 07:47:10,31.2089,16.5887,79.83,29,85,6.55
281,Antofagasta,CL,2021-05-17 07:47:10,-23.65,-70.4,60.8,77,90,9.22
282,Ushtobe,KZ,2021-05-17 07:47:10,45.2514,77.9838,80.24,20,0,0.72
283,Effingham,US,2021-05-17 07:47:11,32.3669,-81.3332,57.2,94,1,3.47
284,Newport,GB,2021-05-17 07:47:11,51.5877,-2.9984,54.0,86,16,1.01
285,Ende,ID,2021-05-17 07:47:12,-8.8432,121.6623,80.89,73,100,3.91
286,Los Llanos De Aridane,ES,2021-05-17 07:47:12,28.6585,-17.9182,68.0,77,20,16.11
287,Nur,PL,2021-05-17 07:47:12,52.6683,22.3221,62.01,41,0,3.0
288,Viedma,AR,2021-05-17 07:47:13,-40.8135,-62.9967,46.94,82,57,4.81
289,Guarapari,BR,2021-05-17 07:47:13,-20.6667,-40.4975,68.0,94,40,2.3
290,Kedrovyy,RU,2021-05-17 07:47:14,56.1667,91.8167,53.6,37,0,6.71
291,Vila Franca Do Campo,PT,2021-05-17 07:47:15,37.7167,-25.4333,64.4,100,75,14.97
292,Hailar,CN,2021-05-17 07:47:16,49.2,119.7,70.27,28,79,16.98
