City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
291,Nioro,GM,13.35,-15.75,75.0,30,100,9.24,overcast clouds
292,Misratah,LY,32.38,15.09,62.4,50,98,17.78,overcast clouds
293,Mackenzie,CA,55.3,-123.17,24.8,85,90,4.7,overcast clouds
294,Yamada,JP,39.47,141.95,32.88,86,2,13.62,clear sky
295,Vila Praia De Ancora,PT,41.81,-8.85,44.01,80,0,1.12,clear sky
296,Anamur,TR,36.08,32.84,59.0,72,20,2.24,few clouds
297,Kandi,BJ,11.13,2.94,77.83,18,48,9.22,scattered clouds
298,Wanaka,NZ,-44.7,169.15,45.68,77,97,5.84,overcast clouds
299,Santa Fe,AR,-31.63,-60.7,72.0,88,2,2.75,clear sky
300,Tahoua,NE,14.89,5.27,66.2,34,98,6.93,overcast clouds
301,Provideniya,RU,64.38,-173.3,17.06,82,100,10.47,overcast clouds
302,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,72.32,98,100,2.08,light rain
303,Antalaha,MG,-14.9,50.28,88.29,58,100,7.45,overcast clouds
304,Deniliquin,AU,-35.53,144.97,84.51,18,0,1.41,clear sky
305,Aiquile,BO,-18.2,-65.18,56.61,87,100,1.81,moderate rain
306,Mahanje,TZ,-9.93,35.33,81.3,59,79,6.26,light rain
307,Contamana,PE,-7.33,-75.02,75.85,86,91,3.04,overcast clouds
308,Husavik,IS,66.04,-17.34,26.6,86,0,3.36,clear sky
309,Qaanaaq,GL,77.48,-69.36,-11.85,83,97,1.99,overcast clouds
310,Richards Bay,ZA,-28.78,32.04,88.9,52,24,5.01,few clouds
311,Shimoda,JP,34.67,138.95,51.8,57,75,1.12,broken clouds
312,Onega,RU,63.91,38.14,1.58,90,99,7.81,overcast clouds
313,Evensk,RU,61.95,159.23,-24.99,74,50,12.01,scattered clouds
314,Coahuayana,MX,18.73,-103.68,70.32,89,25,3.36,scattered clouds
315,San Carlos,VE,9.66,-68.58,70.5,86,15,3.0,few clouds
316,Prado,BR,-17.34,-39.22,72.68,95,100,6.35,overcast clouds
317,Agadir,MA,30.42,-9.6,53.6,50,0,10.29,clear sky
318,Oxapampa,PE,-10.58,-75.4,57.13,88,95,3.02,moderate rain
319,Qaqortoq,GL,60.72,-46.03,14.0,43,100,5.82,overcast clouds
320,Pacific Grove,US,36.62,-121.92,59.0,77,1,6.93,clear sky
321,Bam,IR,29.11,58.36,46.36,46,0,13.09,clear sky
